# list of all Wikipedia articles, generated 08:43:10 12-Jan-2014
# Rfam release 11.0, release date 2012-08-14
23S_methyl_RNA_motif	RF01065 
23S_ribosomal_RNA	RF01118 
5.8S_ribosomal_RNA	RF00002 
5_prime_ureB_sRNA	RF02514 
5S_ribosomal_RNA	RF00001 
6C_RNA	RF01066 
6S_/_SsrS_RNA	RF00013 RF01685 
7SK_RNA	RF00100 RF01052 
Aar_small_RNA	RF02375 
ACAT1_mRNA	RF01495 
Acido-1_RNA_motif	RF01686 
Acido-Lenti-1_RNA_motif	RF01687 
Actino-pnp_RNA_motif	RF01688 
Adaptive_response_33	RF02255 RF02256 RF02257 RF02258 
AdoCbl_riboswitch	RF01482 
AfaR_small_RNA	RF02515 
Alfalfa_mosaic_virus_coat_protein_binding_(CPB)_RNA	RF00252 
Alfalfa_mosaic_virus_RNA_1_5'_UTR_stem-loop	RF00196 
ALIL_pseudoknot	RF01497 
Alpha_operon_ribosome_binding_site	RF00140 
Alphavirus	RF01837 
Anti-Q_RNA	RF00388 
Antisense_RNA	RF02194 
Antizyme_RNA_frameshifting_stimulation_element	RF00381 
APC_internal_ribosome_entry_site_(IRES)	RF00462 
Aphthovirus_internal_ribosome_entry_site_(IRES)	RF00210 
Apolipoprotein_B_(apoB)_5'_UTR_cis-regulatory_element	RF00463 
ArcZ_RNA	RF00081 
Asd_RNA_motif	RF01732 
Aspergillus_fumigatus_non-coding_RNAs	RF01496 RF01503 RF01504 RF01507 RF01512 
Astrovirus	RF01833 
AtoC_RNA_motif	RF01733 
ATPC_RNA_motif	RF01067 
Attenuator_(genetics)	RF01859 
Avian_encephalitis_virus_cis-acting_replication_element	RF02536 
Avian_HBV_RNA_encapsidation_signal_epsilon	RF01313 
Bacillaceae-1_RNA_motif	RF01690 
Bacillus-plasmid_RNA_motif	RF01691 
Bacillus_subtilis_BSR_sRNAs	RF01410 RF01411 RF01412 
Bacterial_small_RNA	RF01527 RF01830 RF02048 RF02049 RF02050 RF02051 RF02052 RF02053 RF02054 RF02055 RF02056 RF02057 RF02058 RF02059 RF02060 RF02062 RF02063 RF02064 RF02065 RF02066 RF02067 RF02070 RF02071 RF02072 RF02073 RF02074 RF02075 RF02076 RF02077 RF02078 RF02079 RF02080 RF02081 RF02082 RF02084 RF02269 RF02349 RF02350 RF02351 RF02352 RF02353 RF02354 RF02355 RF02356 RF02377 RF02378 RF02385 RF02386 RF02387 RF02388 RF02389 RF02390 RF02391 RF02392 RF02393 RF02394 RF02395 RF02396 RF02397 RF02398 RF02399 RF02418 RF02419 RF02420 RF02421 RF02422 RF02423 RF02424 RF02449 RF02450 RF02451 RF02452 RF02453 RF02454 RF02463 RF02464 RF02465 RF02466 RF02467 RF02468 RF02469 RF02470 RF02471 RF02496 RF02497 RF02498 RF02499 RF02500 RF02501 RF02502 RF02503 RF02504 RF02505 RF02506 RF02507 RF02508 RF02524 RF02525 RF02526 RF02527 RF02528 RF02529 
Bacteriophage_MS2	RF02359 
Bacteriophage_pRNA	RF00044 
Bacteroid-trp_RNA_motif	RF01692 
Bacteroidales-1_RNA_motif	RF01693 
Bacteroides-1_RNA_motif	RF01694 
Bag-1_internal_ribosome_entry_site_(IRES)	RF00222 
Bamboo_mosaic_potexvirus_(BaMV)_cis-regulatory_element	RF00290 
Bamboo_mosaic_virus_satellite_RNA_cis-regulatory_element	RF00389 
bantam_microRNA	RF00727 
Barley_yellow_dwarf_virus_5'UTR	RF01508 
Beet_yellows_virus	RF01100 
Beta-globin_co-transcriptional_cleavage_ribozyme	RF00621 
Bicoid_3'-UTR_regulatory_element	RF00551 
bip_internal_ribosome_entry_site_(IRES)	RF00223 
Bovine_leukaemia_virus_RNA_packaging_signal	RF00192 
Bovine_leukemia_virus	RF01785 
Bxd_(gene)	RF01929 RF01930 RF01931 RF01932 RF01933 RF01934 RF01935 
c-myc_internal_ribosome_entry_site_(IRES)	RF00216 
c-sis_internal_ribosome_entry_site_(IRES)	RF00549 
C0299_RNA	RF00119 
C0465_RNA	RF00116 
C0719_RNA	RF00117 
C4_antisense_RNA	RF01695 
Caenorhabditis_elegans_small_RNAs	RF01619 RF01623 RF01643 RF01656 RF01657 RF01663 
Cap-independent_translation_element	RF02455 RF02457 RF02458 RF02459 RF02460 RF02461 RF02521 RF02522 
Cardiovirus_cis-acting_replication_element	RF00453 
Caulobacter_crescentus	RF01519 RF01520 RF01521 RF01527 RF01528 RF01529 RF01530 RF01867 
CDKN2BAS	RF01909 RF02044 RF02045 
Chlorobi-1_RNA_motif	RF01696 
Chlorobi-RRM_RNA_motif	RF01697 
Chloroflexi-1_RNA_motif	RF01698 
Cia-dependent_small_RNAs	RF02379 RF02380 RF02381 RF02382 RF02383 
Citrus_tristeza_virus_replication_signal	RF00193 
Clostridiales-1_RNA_motif	RF01699 
CLRN1-AS1	RF02089 
Cobalamin_riboswitch	RF00174 RF01689 
Cocksfoot_mottle_virus	RF01838 
Collinsella-1_RNA_motif	RF01700 
Connexin-32_internal_ribosome_entry_site_(IRES)	RF00484 
Connexin-43_internal_ribosome_entry_site_(IRES)	RF00487 
CopA-like_RNA	RF00042 
Coronavirus_3'_stem-loop_II-like_motif_(s2m)	RF00164 
Coronavirus_3'_UTR_pseudoknot	RF00165 
Coronavirus_frameshifting_stimulation_element	RF00507 
Coronavirus_packaging_signal	RF00182 
Coronavirus_SL-III_cis-acting_replication_element	RF00496 
CrcB_RNA_motif	RF01734 
CrcZ	RF01675 
Cripavirus_internal_ribosome_entry_site_(IRES)	RF00458 
CRISPR	RF01315 RF01316 RF01317 RF01318 RF01319 RF01320 RF01321 RF01322 RF01323 RF01324 RF01325 RF01326 RF01327 RF01328 RF01329 RF01330 RF01331 RF01332 RF01333 RF01334 RF01335 RF01336 RF01337 RF01338 RF01339 RF01340 RF01341 RF01342 RF01343 RF01344 RF01345 RF01346 RF01347 RF01348 RF01349 RF01350 RF01351 RF01352 RF01353 RF01354 RF01355 RF01356 RF01357 RF01358 RF01359 RF01360 RF01361 RF01362 RF01363 RF01364 RF01365 RF01366 RF01367 RF01368 RF01369 RF01370 RF01371 RF01372 RF01373 RF01374 RF01375 RF01376 RF01377 RF01378 RF01379 
CspA_mRNA_5'_UTR	RF01766 
CsrB/RsmB_RNA_family	RF00018 
CsrC_RNA_family	RF00084 
ctgf/hcs24_CAESAR	RF00172 
ctRNA	RF00236 RF00238 RF00242 RF00489 
Cucumber_yellows_virus	RF01095 
Cyano-2_RNA_motif	RF01702 
Cyclic_di-GMP-I_riboswitch	RF01051 
Cyclic_di-GMP-II_riboswitch	RF01786 
DAOA-AS1	RF02090 RF02091 
DGCR5_(gene)	RF02098 
DicF_RNA	RF00039 
